Thẻ,Loại,Cấp,Thành phần,Giống Kanji,Onyomi,Kunyomi,Nanori,Đọc Chính,Đọc,Nghĩa Chính,Nghĩa Phụ
割り当て,vocab,26,"割,当",N/A,N/A,N/A,N/A,わりあて,わりあて,Phân Bổ,
ひき逃げ,vocab,27,逃,N/A,N/A,N/A,N/A,ひきにげ,ひきにげ,Hikinige,
越南,vocab,46,"越,南",N/A,N/A,N/A,N/A,えつなん,"えつなん, べとなむ",Việt Nam,
着信音,vocab,21,"着,信,音",N/A,N/A,N/A,N/A,ちゃくしんおん,ちゃくしんおん,Nhạc Chuông,
無双,vocab,19,"無,双",N/A,N/A,N/A,N/A,むそう,むそう,Vô Song,
発がん性,vocab,15,"発,性",N/A,N/A,N/A,N/A,はつがんせい,はつがんせい,Hatsugansei,
軽油,vocab,38,"軽,油",N/A,N/A,N/A,N/A,けいゆ,けいゆ,Dầu,
屋台,vocab,16,"屋,台",N/A,N/A,N/A,N/A,やたい,やたい,Yatai,
お召し物,vocab,34,"召,物",N/A,N/A,N/A,N/A,おめしもの,おめしもの,Omeshimono,Quần Áo
吐血,vocab,25,"吐,血",N/A,N/A,N/A,N/A,とけつ,とけつ,Toketsu,Nôn Ra Máu
脱水,vocab,61,"脱,水",N/A,N/A,N/A,N/A,だっすい,だっすい,Dassui,
築～,vocab,21,築,N/A,N/A,N/A,N/A,ちく,ちく,Chiku,
出演,vocab,29,"出,演",N/A,N/A,N/A,N/A,しゅつえん,しゅつえん,Shutsuen,
勿体ない,vocab,26,"勿,体",N/A,N/A,N/A,N/A,もったいない,もったいない,Mottainai,
大分県,vocab,21,"大,分,県",N/A,N/A,N/A,N/A,おおいたけん,おおいたけん,Ooitaken,
～色,vocab,8,色,N/A,N/A,N/A,N/A,しょく,しょく,Shoku,
空っぽ,vocab,10,空,N/A,N/A,N/A,N/A,からっぽ,からっぽ,Karappo,
年月日,vocab,8,"年,月,日",N/A,N/A,N/A,N/A,ねんがっぴ,ねんがっぴ,Nengappi,
陽キャ,vocab,23,陽,N/A,N/A,N/A,N/A,ようきゃ,ようきゃ,Youkya,Hướng Ngoại
陰キャ,vocab,61,陰,N/A,N/A,N/A,N/A,いんきゃ,いんきゃ,Inkya,Hướng Nội
嫌がらせ,vocab,36,嫌,N/A,N/A,N/A,N/A,いやがらせ,いやがらせ,Quấy Rối,Iyagarase
寝起き,vocab,19,"寝,起",N/A,N/A,N/A,N/A,ねおき,ねおき,Dậy,
凸待ち,vocab,34,"凸,待",N/A,N/A,N/A,N/A,とつまち,とつまち,Totsumachi,
日向,vocab,25,"日,向",N/A,N/A,N/A,N/A,ひなた,ひなた,Hinata,
突破,vocab,26,"突,破",N/A,N/A,N/A,N/A,とっぱ,とっぱ,Đột Phá,
性癖,vocab,70,"性,癖",N/A,N/A,N/A,N/A,せいへき,せいへき,Seiheki,
星空,vocab,21,"星,空",N/A,N/A,N/A,N/A,ほしぞら,ほしぞら,Hoshizora,
降り口,vocab,30,"降,口",N/A,N/A,N/A,N/A,おりぐち,おりぐち,Cửa Xuống,
乗り口,vocab,27,"乗,口",N/A,N/A,N/A,N/A,のりぐち,のりぐち,Cửa Lên,
遣らかす,vocab,51,遣,N/A,N/A,N/A,N/A,やらかす,やらかす,Yarakasu,Trót
コメント欄,vocab,46,欄,N/A,N/A,N/A,N/A,こめんとらん,こめんとらん,Komentoran,
日中,vocab,2,"日,中",N/A,N/A,N/A,N/A,にっちゅう,にっちゅう,Trong Ngày,
初日,vocab,9,"初,日",N/A,N/A,N/A,N/A,しょにち,しょにち,Ngày Đầu,
お陰で,vocab,61,陰,N/A,N/A,N/A,N/A,おかげで,おかげで,Okagede,
同情,vocab,20,"同,情",N/A,N/A,N/A,N/A,どうじょう,どうじょう,Doujou,Đồng Cảm
合奏,vocab,52,"合,奏",N/A,N/A,N/A,N/A,がっそう,がっそう,Hợp Tấu,
独奏,vocab,52,"独,奏",N/A,N/A,N/A,N/A,どくそう,どくそう,Độc Tấu,
野良猫,vocab,14,"野,良,猫",N/A,N/A,N/A,N/A,のらねこ,のらねこ,Mèo Hoang,Noraneko
